id,title,topic,word_count,turkish_counterpart,path,slug
en-antikythera,The Antikythera Mechanism: How the Ancient Greek “Computer” Worked,lost-technology,1193,no,/en/antikythera-mechanism-how-the-ancient-computer-worked,antikythera-mechanism-how-the-ancient-computer-worked
en-roman-concrete,Roman Concrete: Why Some Ancient Harbors Survive After Two Thousand Years,lost-technology,1194,no,/en/roman-concrete-why-ancient-harbors-survive,roman-concrete-why-ancient-harbors-survive
en-baalbek-stones,The Stones of Baalbek: How Were Ancient Megaliths Moved?,lost-technology,1217,yes,/en/baalbek-stones-how-were-ancient-megaliths-moved,baalbek-stones-how-were-ancient-megaliths-moved
en-damascus-steel,"Damascus Steel: What Was Lost, What Survived and What the Pattern Means",lost-technology,1226,no,/en/damascus-steel-what-was-lost-and-what-was-not,damascus-steel-what-was-lost-and-what-was-not
en-ancient-technology-books,Best Books on Lost Ancient Technology: An Evidence-Based Reading Guide,lost-technology,1219,no,/en/best-books-on-lost-ancient-technology-evidence-based-guide,best-books-on-lost-ancient-technology-evidence-based-guide
en-derinkuyu,Derinkuyu Underground City: Who Built It and Why Did People Go Below Ground?,archaeological-mysteries,1190,yes,/en/derinkuyu-underground-city-who-built-it-and-why,derinkuyu-underground-city-who-built-it-and-why
en-gobekli-tepe,Göbekli Tepe: What the Site Really Changed About Prehistory,archaeological-mysteries,1160,no,/en/gobekli-tepe-what-the-site-really-changed,gobekli-tepe-what-the-site-really-changed
en-karahan-tepe,Karahan Tepe and Taş Tepeler: Why One Site Is Not the Whole Story,archaeological-mysteries,1153,yes,/en/karahan-tepe-and-tas-tepeler-why-it-matters,karahan-tepe-and-tas-tepeler-why-it-matters
en-catalhoyuk,Çatalhöyük: Life Inside a Neolithic Settlement Without Streets,archaeological-mysteries,1109,no,/en/catalhoyuk-life-inside-the-neolithic-megasite,catalhoyuk-life-inside-the-neolithic-megasite
en-mohenjo-daro,Mohenjo-daro: What Happened to the Great Indus City?,archaeological-mysteries,1126,no,/en/mohenjo-daro-what-happened-to-the-indus-city,mohenjo-daro-what-happened-to-the-indus-city
en-troy-treasure,Where Is the Treasure of Troy? The Contested Legacy of Schliemann,archaeological-mysteries,1181,yes,/en/troy-treasure-where-is-schliemanns-legacy-now,troy-treasure-where-is-schliemanns-legacy-now
en-tartaria,The Tartaria Myth: Did a Lost Global Empire Really Exist?,myths-vs-evidence,1174,yes,/en/tartaria-myth-did-a-lost-empire-exist,tartaria-myth-did-a-lost-empire-exist
en-piri-reis-map,Does the Piri Reis Map Show Antarctica Without Ice?,myths-vs-evidence,1151,yes,/en/does-the-piri-reis-map-show-antarctica,does-the-piri-reis-map-show-antarctica
en-nazca-lines,The Nazca Lines: Were They Made for Aliens?,myths-vs-evidence,1142,yes,/en/nazca-lines-were-they-made-for-aliens,nazca-lines-were-they-made-for-aliens
en-ancient-aliens-method,How to Check an Ancient Aliens Claim in Five Evidence Tests,myths-vs-evidence,1148,no,/en/how-to-check-ancient-alien-claims,how-to-check-ancient-alien-claims
en-library-alexandria,How Was the Library of Alexandria Destroyed? There Was No Single Fire,myths-vs-evidence,1167,no,/en/library-of-alexandria-how-was-it-destroyed,library-of-alexandria-how-was-it-destroyed
en-bronze-age-collapse,The Bronze Age Collapse: Why Several Civilizations Fell Around 1200 BCE,myths-vs-evidence,1151,no,/en/bronze-age-collapse-why-civilizations-fell-around-1200-bce,bronze-age-collapse-why-civilizations-fell-around-1200-bce
